filename	read_id	run_id	batch_id	channel	mux	start_time	duration	num_events	passes_filtering	template_start	num_events_template	template_duration	sequence_length_template	mean_qscore_template	strand_score_template	median_template	mad_template	scaling_median_template	scaling_mad_template
batch0.fast5	02fb87ab-435a-4a93-b618-624513feedbe	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	331	2	74620.442231	17.309761	5213	FALSE	74621.098938	5015	16.653054	425	6.276993	0.000000	93.356339	13.558561	93.356339	13.558561
batch0.fast5	031efc92-6e4a-4df6-8c6b-20d763584d41	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	159	4	30306.718792	11.139442	3355	TRUE	30306.851594	3315	11.006640	717	7.419235	0.000000	99.570679	11.440036	99.570679	11.440036
batch0.fast5	07360471-03dc-42a2-84e8-e8fc043a11d5	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	54	1	74544.202191	10.859562	3270	TRUE	74545.794157	2791	9.267596	708	7.836524	0.000000	91.520287	13.982265	91.520287	13.982265
batch0.fast5	073896f2-b251-4dc4-ada1-c2c86cc421ef	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	486	1	74510.089973	8.486720	2556	TRUE	74511.807105	2039	6.769588	402	7.469899	0.000000	101.547974	12.852386	101.547974	12.852386
batch0.fast5	0ed28928-9ae3-43f7-9fd8-7b779ae891ea	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	182	2	74639.060425	17.333665	5220	TRUE	74640.169323	4886	16.224768	1251	7.398218	0.000000	101.406738	13.699796	101.406738	13.699796
batch0.fast5	0feb468a-0437-4574-90c6-4de5925209ce	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	456	2	74591.921979	8.430611	2539	TRUE	74594.368858	1802	5.983732	291	7.854197	0.000000	83.469887	12.852386	83.469887	12.852386
batch0.fast5	10b1f519-3372-4a8a-8fdf-2f51022ed271	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	285	2	30315.371846	18.387450	5538	TRUE	30318.032869	4736	15.726428	969	8.670731	0.000000	106.632431	13.699796	106.632431	13.699796
batch0.fast5	15caff3d-2052-4fe6-b731-4aa2c6c9b750	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	119	3	74612.495020	14.678951	4421	TRUE	74612.628154	4381	14.545817	1075	7.928939	0.000000	109.598366	13.134856	109.598366	13.134856
batch0.fast5	17d01899-f353-4f94-80e6-fc442b08c3fb	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	105	2	74611.934263	8.075033	2432	FALSE	74612.067065	2392	7.942231	274	6.784513	0.000000	101.971680	9.603981	101.971680	9.603981
batch0.fast5	1ad9d5cf-ecf0-493a-8b33-2a81da2205d3	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	475	3	74676.870850	10.157703	3059	TRUE	74680.210159	2053	6.818393	327	7.528361	0.000000	111.575661	16.806967	111.575661	16.806967
batch0.fast5	241f6d58-5319-4eaa-b000-927862df9e79	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	389	3	74469.998008	21.648738	6520	TRUE	74470.245020	6446	21.401726	939	7.961332	0.000000	108.327255	12.852386	108.327255	12.852386
batch0.fast5	2751d3d3-e7ed-467f-bbee-9e9fcd8d0ed7	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	182	2	74545.475764	11.769256	3544	TRUE	74545.608898	3504	11.636122	760	7.954780	0.000000	106.491196	14.688441	106.491196	14.688441
batch0.fast5	3191a9b0-f41c-4afb-a6ed-04e6bc66e82f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	441	1	74618.753984	22.092629	6654	TRUE	74618.887118	6614	21.959495	1199	7.658530	0.000000	103.384026	11.722506	103.384026	11.722506
batch0.fast5	398fcbb5-7d52-4e4f-b67e-6bad97732614	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	231	3	30329.773904	8.912019	2684	TRUE	30331.019256	2309	7.666667	472	7.654969	0.000000	107.479843	15.112146	107.479843	15.112146
batch0.fast5	479ba65b-0446-436d-86ba-c8c5ce336b47	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	119	2	30256.397078	9.009296	2713	TRUE	30256.529880	2673	8.876494	438	8.121223	0.000000	105.502548	15.677086	105.502548	15.677086
batch0.fast5	48c4a618-909d-456e-8713-ed63eef26be1	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	252	1	74511.933931	8.038845	2421	FALSE	74512.855246	2143	7.117530	672	6.971392	0.000000	107.338608	14.264736	107.338608	14.264736
batch0.fast5	4fd5fd53-1282-47e2-8bb3-73395219183f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	478	2	30286.517264	17.222444	5187	TRUE	30286.696215	5133	17.043493	950	7.697730	0.000000	105.361313	12.569916	105.361313	12.569916
batch0.fast5	519e69f1-c262-48b5-90f6-ce4d27b5fc5d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	3	2	74668.911687	18.470120	5563	TRUE	74669.138114	5495	18.243692	1305	7.186592	0.000000	69.911331	9.886451	69.911331	9.886451
batch0.fast5	5506a7bd-7cd2-46a1-be40-5dc9c3e77800	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	479	3	30276.593958	13.403386	4037	TRUE	30276.726760	3997	13.270584	839	7.297488	0.000000	100.559326	11.863741	100.559326	11.863741
batch0.fast5	01165be0-d60d-449d-96b8-1260f5a6073c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	474	3	30325.315737	15.495684	4667	TRUE	30326.904382	4188	13.907039	779	8.339602	0.000000	108.892189	14.688441	108.892189	14.688441
batch0.fast5	03d7adef-d3c2-4840-b1df-444d2c283c87	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	239	3	74661.724436	16.119522	4855	TRUE	74663.105246	4439	14.738712	1117	7.784310	0.000000	110.163307	13.699796	110.163307	13.699796
batch0.fast5	05ab2b5f-2e90-4c7a-ad51-99615d4843d4	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	238	4	74610.705511	15.582337	4693	TRUE	74615.064409	3380	11.223440	459	7.555140	0.000000	111.999359	16.383261	111.999359	16.383261
batch0.fast5	07bafa83-c0a6-4013-8374-5716362ed7a4	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	473	3	30303.759296	13.515604	4070	TRUE	30304.738048	3776	12.536853	813	7.646575	0.000000	104.937614	13.417326	104.937614	13.417326
batch0.fast5	095a6179-458d-4fc8-a88e-ca55eb826808	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	396	2	74589.248008	14.031208	4226	TRUE	74591.580345	3523	11.698871	449	8.259603	0.000000	110.163307	13.276091	110.163307	13.276091
batch0.fast5	0d69848b-1ecf-4db1-ae81-6c839a807543	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	14	3	74619.847278	6.536521	1968	TRUE	74619.980080	1928	6.403718	432	7.719687	0.000000	105.361313	10.733861	105.361313	10.733861
batch0.fast5	0e2755e0-2bbf-4fe8-afe0-cb5282c8094c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	163	1	74475.434927	10.199867	3072	TRUE	74476.805777	2659	8.829017	617	8.828457	0.000000	117.931229	16.524496	117.931229	16.524496
batch0.fast5	1160b20a-97f6-473a-aafb-62adb14d8cc0	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	15	2	30330.476760	5.759960	1734	TRUE	30331.865206	1316	4.371514	286	8.102431	0.000000	109.739601	15.535851	109.739601	15.535851
batch0.fast5	11823fc8-df1f-495d-b195-1f41ddbdf959	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	314	4	74574.149734	27.142098	8175	TRUE	74574.302789	8129	26.989044	1364	8.215940	0.000000	97.593391	12.146211	97.593391	12.146211
batch0.fast5	12795f86-0352-4bc6-80f7-215dc04251cb	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	494	4	30271.649402	5.059097	1523	TRUE	30273.203851	1055	3.504648	225	7.767521	0.000000	110.728249	14.547206	110.728249	14.547206
batch0.fast5	13403520-f6f0-4162-a66d-f8eac35b5246	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	152	4	30310.102922	11.904714	3585	TRUE	30312.114210	2979	9.893426	498	7.260203	0.000000	108.186020	14.547206	108.186020	14.547206
batch0.fast5	14a4e4b7-fb22-406e-979b-e2037f3b3dbf	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	65	3	74606.046813	26.176295	7884	TRUE	74608.532537	7135	23.690571	1029	8.752917	0.000000	116.518883	14.829676	116.518883	14.829676
batch0.fast5	17f9250a-428e-4faf-8b8b-c6d525f241c1	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	193	2	74478.526228	8.605578	2592	TRUE	74480.048141	2133	7.083665	465	7.954461	0.000000	117.083824	15.535851	117.083824	15.535851
batch0.fast5	1836be3c-50c7-4e91-ad2d-a7eb535ed5d3	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	76	1	74639.475764	19.982404	6018	TRUE	74640.697543	5650	18.760624	1317	8.143737	0.000000	110.163307	13.982265	110.163307	13.982265
batch0.fast5	18405973-43cc-49a3-9231-1c45ae6df39c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	236	2	74555.362882	31.317065	9432	FALSE	74557.916003	8663	28.763944	485	6.307158	0.000000	114.824059	15.535851	114.824059	15.535851
batch0.fast5	19652ddd-247e-40da-9598-01e9a9e08e23	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	96	2	74513.563745	8.403718	2531	FALSE	74513.838977	2448	8.128486	338	6.881510	0.000000	93.638809	10.027685	93.638809	10.027685
batch0.fast5	1ad248be-7a0c-4f19-a7d9-fd786dc15198	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	210	4	74649.659031	21.307437	6417	FALSE	74651.198871	5954	19.767596	1210	6.856623	0.000000	109.174660	13.699796	109.174660	13.699796
batch0.fast5	1c189f74-f538-4d76-b642-ab20d9e4383a	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	502	1	74509.304781	7.083665	2133	TRUE	74510.871514	1661	5.516932	376	7.559237	0.000000	113.835419	16.524496	113.835419	16.524496
batch0.fast5	1fbaeb7b-1cf8-45c0-bc6d-b799a13e2936	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	343	1	74481.717131	19.670651	5924	TRUE	74481.882470	5875	19.505312	564	7.190024	0.000000	105.361313	11.581271	105.361313	11.581271
batch0.fast5	20471de0-9960-46e1-ba80-e1cd3434015f	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	354	3	74584.377822	6.021248	1813	TRUE	74586.272908	1242	4.126162	238	8.538793	0.000000	122.168282	15.112146	122.168282	15.112146
batch0.fast5	228ef480-a5b9-42aa-b0c4-61f70c474bd7	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	56	1	30347.227756	17.692231	5328	TRUE	30348.361554	4987	16.558433	1252	8.021246	0.000000	108.327255	13.841031	108.327255	13.841031
batch0.fast5	2311ca2b-215b-4e1d-8fb3-200a855be90c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	461	1	30345.774900	13.809429	4159	TRUE	30347.474104	3647	12.110226	857	8.309170	0.000000	99.994385	13.841031	99.994385	13.841031
batch0.fast5	23420d63-ee6e-4ba3-8329-bf7fda2a32af	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	200	3	74568.697543	26.925963	8110	TRUE	74568.962483	8030	26.661023	1251	7.545453	0.000000	97.875862	12.004975	97.875862	12.004975
batch0.fast5	2400f4ee-ddfd-4920-82cd-f167ee850f5d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	262	1	30301.648074	7.201195	2169	TRUE	30303.296149	1672	5.553121	436	7.635248	0.000000	105.926254	15.818321	105.926254	15.818321
batch0.fast5	24aba0d7-614b-4cdc-bf25-c2ea98f35148	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	155	2	74511.765936	17.142430	5163	TRUE	74511.899070	5123	17.009296	1134	7.693656	0.000000	109.880836	13.841031	109.880836	13.841031
batch0.fast5	28b27a2e-d4d2-445a-95b8-590671a60f2d	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	372	3	74653.776560	12.250000	3689	TRUE	74655.487716	3174	10.538845	576	7.846482	0.000000	106.491196	14.405971	106.491196	14.405971
batch0.fast5	29c24817-96e2-4f8b-bfed-baedab4e796c	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	135	4	74526.887782	8.949867	2695	TRUE	74529.645086	1865	6.192563	258	7.638633	0.000000	113.976654	14.688441	113.976654	14.688441
batch0.fast5	2ab9d679-bcb4-4c5e-b491-95f245443da8	c0cdb6f6cd5b7122e6bbcd17889ff6295a282903	0	364	2	74631.666999	15.294821	4606	TRUE	74631.799801	4566	15.162019	877	7.152779	0.000000	105.220085	13.276091	105.220085	13.276091
